PROJECT NAME	Description	ORDER DATE	SALES ORDER	CUSTOMER	SHIP DATE	PROCESS	JOB(S) NUMBER(S)	ORDER QUANTITY	COMMENTS
CSMCC0983	L212X ID Holder	 06/02/2022	M15014	SV MICROWAVE	6/1/2023	CLOSED	(1)24588 & 24589, (1)24590 & 24591, (3)27128 & 27129, (3)27130 & 27131, (3)27526 & 27527, (3)27528 & 27529	1	LOCATED IN CAGE TO SHIP AS NEEDED
CSMCC0983	L212X ID Holder	 06/02/2022	M15011	SV MICROWAVE	6/1/2023	CLOSED	(1)24588 & 24589, (1)24590 & 24591, (3)27128 & 27129, (3)27130 & 27131, (3)27526 & 27527, (3)27528 & 27529	1	LOCATED IN CAGE TO SHIP AS NEEDED
CSMCC1014	A320 Release Lever Actuator for Thread Roller	3/3/2023	M15463	HI - TEC	6/1/2023	OPEN	29981	1	
CSMCC1089	L220 Bone Screw Unloader-Keyence with Monitor	 11/21/2022	M15334	EXACTECH	11/1/2023	OPEN	29779 – 29814, 29854 – 29855 	1	READY TO BE PICKED
CSMCC1089	L220 Bone Screw Unloader-Keyence with Monitor	 11/21/2022	M15335	EXACTECH	11/1/2023	OPEN	29815 - 29852	1	READY TO BE PICKED
CSMCC1075	L320E 24" Laser Work Tray	9/12/2022	G38671	LENKBAR	11/30/2023	CLOSED	28978	1	SHIPPED TO CUSTOMER
CSMCC1006	L220 Vacuu m Automation	8/19/2021	M13551/M13552	VACUUM AUTOMATION	Cannot see ORDER  in Syspro	OPEN	24400 - 24423, 24546	1	STILL IN ASSEMBLY - ISSUE WITH PHOTO EYE
CSMCC0921	L220 Bone Screw Unloader	11/28/2022	M15342	ORCHID ORTHOPEDIC SOLUTIONS	JULY 2023	OPEN	29121 - 29142	1	MISSING PART: BW-MD-BUSCCP2-H4X-R1L
CSMCC0984	Keyence measument	 11/28/2022	M15342	ORCHID ORTHOPEDIC SOLUTIONS	JULY 2023	OPEN	29116 - 29119	1	READY TO BE SHIPPED
CSMCC0985	Caron Autocomp	11/28/2022	M15342	ORCHID ORTHOPEDIC SOLUTIONS	JULY 2023	OPEN	29143 - 29145	1	WAITING ON CARON SYSTEM
CSMCC0972	L320E Laser Welding	12/15/2021	M14421	NEW ENGLAND SMALL TUBE	Week of 3/8/2023	OPEN	26606, 26607, 26609 - 26611, 26655 - 26657, 20877 - 28080, 28095, 28146	1	JOBS COMPLETE AND READY TO SHIP
CSMCC0588	L12VII Vacuum Unloading	9/3/2019	M12647	ARTHREX		OPEN	20578, 20580, 20581, 20583	1	BoM needs to be looked at; old jobs
CSMCC0588	L12VII Vacuum Unloading	9/30/2019	M12648	ARTHREX		OPEN	20429 - 20432	1	BoM needs to be looked at; old jobs
CSMCC0588	L12VII Vacuum Unloading	7/2/2020	M13120	ARTHREX		OPEN	21861 - 21865	1	BoM needs to be looked at; old jobs
CSMCC0588	L12VII Vacuum Unloading	7/2/2020	M13119	ARTHREX		OPEN	21856 - 21860	1	BoM needs to be looked at; old jobs
CSMCC0588	L12VII Vacuum Unloading	7/2/2020	M13117	ARTHREX		OPEN	21851 - 21855	1	BoM needs to be looked at; old jobs
CSMCC0736	L12VII Vacuum Unloading	7/14/2021	M14005	ZIMMER-BIOMET		CLOSED	25410, 24506 - 24521	1	IN SHIPPING READY TO GO
CSMCC0780	K16EVII Vacuum	9/3/2019	M12635	ARTHREX		OPEN	15790	1	BoM needs to be looked at; old jobs
CSMCC0780	K16EVII Vacuum	9/3/2019	M12636 - M12637	ARTHREX		OPEN	24747 - 24751	2	BoM needs to be looked at; old jobs
CSMCC0888	L220 18" Long Work Tray	11/2/2022	M15308	CONMED LINVATEC		CLOSED	29201	1	SHIPPED TO CUSTOMER
CSMCC0888	L220 18" Long Work Tray	11/2/2022	M15309	CONMED LINVATEC		OPEN	29202	1	
CSMCC0888	L220 18" Long Work Tray	7/20/2022	M15095	CADENCE CT INC		OPEN	29551	1	
CSMCC0921	L220 Bone Screw Unloader	7/2/2020	M13121	ARTHREX		OPEN	(2)25154 - 25177, (2)25178 - 25201, (2)25385 - 25408	1	
CSMCC0921	L220 Bone Screw Unloader	7/2/2020	M13122	ARTHREX		OPEN	(2)25154 - 25177, (2)25178 - 25201, (2)25385 - 25408	1	
CSMCC0921	L220 Bone Screw Unloader	7/2/2020	M13123	ARTHREX		OPEN	(2)25154 - 25177, (2)25178 - 25201, (2)25385 - 25408	1	
CSMCC0921	L220 Bone Screw Unloader	7/2/2020	M13124	ARTHREX		OPEN	(2)25154 - 25177, (2)25178 - 25201, (2)25385 - 25408	1	
CSMCC0921	L220 Bone Screw Unloader	7/2/2020	M13125	ARTHREX		OPEN	(2)25154 - 25177, (2)25178 - 25201, (2)25385 - 25408	1	
CSMCC0921	L220 Bone Screw Unloader	9/19/2018	M11784	ARTHREX		CLOSED	21164 - 21186	1	IN SHIPPING, WAITING TO BE SHIPPED
CSMCC0921	L220 Bone Screw Unloader	9/19/2018	M11785	ARTHREX		CLOSED	21188 - 21210	1	IN SHIPPING, WAITING TO BE SHIPPED
CSMCC0921	L220 Bone Screw Unloader	9/19/2018	M11786 / M11787	ARTHREX		CLOSED	24910 - 24935 / 21211 - 21233	2	IN SHIPPING, WAITING TO BE SHIPPED
CSMCC0984		 09/29/2021	M14206	ACUMED LLC		CLOSED	28650 - 28653	1	CRATED, CUSTOMER CANCELLED
CSMCC1027		8/26/2021	M14085	MW INDUSTRIESINC		CLOSED	28967 - 28971	1	
CSMCC1060		12/13/2022	G44360	HYPERTHERM		CLOSED	27856 - 27858	1	IN SHIPPING, WAITING TO GO TO SILVER STREET
CSMCC1070		1/7/2022	M14480	THE LEE COMPANY		CLOSED	29114	2	MFG/NF
CSMCC1077		9/29/2021	M14206	ACUMEDLLC		CLOSED	28649 , 28654 - 28656	1	CRATED, CUSTOMER CANCELLED
